genres_id,app,category,rating,reviews,size,installs,type,price,content rating,genres,last updated,current ver,android ver,content_rating_label
1,photo editor  candy camera  grid  scrapbook,art_and_design,4.1,159,19000000,10000,0,0.0,everyone,art  design,2018-01-07,1.0.0,4.0.3_and_up,1
2,coloring book moana,art_and_design,3.9,967,14000000,500000,0,0.0,everyone,art  designpretend play,2018-01-15,2.0.0,4.0.3_and_up,1
1,u launcher lite  free live cool themes hide apps,art_and_design,4.7,87510,8700000,5000000,0,0.0,everyone,art  design,2018-08-01,1.2.4,4.0.3_and_up,1
1,sketch - draw  paint,art_and_design,4.5,215644,25000000,50000000,0,0.0,teen,art  design,2018-06-08,varies_with_device,4.2_and_up,3
3,pixel draw - number art coloring book,art_and_design,4.3,967,2800000,100000,0,0.0,everyone,art  designcreativity,2018-06-20,1.1,4.4_and_up,1
1,paper flowers instructions,art_and_design,4.4,167,5600000,50000,0,0.0,everyone,art  design,2017-03-26,1.0,2.3_and_up,1
1,smoke effect photo maker - smoke editor,art_and_design,3.8,178,19000000,50000,0,0.0,everyone,art  design,2018-04-26,1.1,4.0.3_and_up,1
1,infinite painter,art_and_design,4.1,36815,29000000,1000000,0,0.0,everyone,art  design,2018-06-14,6.1.61.1,4.2_and_up,1
1,garden coloring book,art_and_design,4.4,13791,33000000,1000000,0,0.0,everyone,art  design,2017-09-20,2.9.2,3.0_and_up,1
3,kids paint free - drawing fun,art_and_design,4.7,121,3100000,10000,0,0.0,everyone,art  designcreativity,2018-07-03,2.8,4.0.3_and_up,1
1,text on photo - fonteee,art_and_design,4.4,13880,28000000,1000000,0,0.0,everyone,art  design,2017-10-27,1.0.4,4.1_and_up,1
1,name art photo editor - focus n filters,art_and_design,4.4,8788,12000000,1000000,0,0.0,everyone,art  design,2018-07-31,1.0.15,4.0_and_up,1
1,tattoo name on my photo editor,art_and_design,4.2,44829,20000000,10000000,0,0.0,teen,art  design,2018-04-02,3.8,4.1_and_up,3
1,mandala coloring book,art_and_design,4.6,4326,21000000,100000,0,0.0,everyone,art  design,2018-06-26,1.0.4,4.4_and_up,1
1,3d color pixel by number - sandbox art coloring,art_and_design,4.4,1518,37000000,100000,0,0.0,everyone,art  design,2018-08-03,1.2.3,2.3_and_up,1
1,learn to draw kawaii characters,art_and_design,3.2,55,2700000,5000,0,0.0,everyone,art  design,2018-06-06,,4.2_and_up,1
1,photo designer - write your name with shapes,art_and_design,4.7,3632,5500000,500000,0,0.0,everyone,art  design,2018-07-31,3.1,4.1_and_up,1
1,350 diy room decor ideas,art_and_design,4.5,27,17000000,10000,0,0.0,everyone,art  design,2017-11-07,1.0,2.3_and_up,1
1,flipaclip - cartoon animation,art_and_design,4.3,194216,39000000,5000000,0,0.0,everyone,art  design,2018-08-03,2.2.5,4.0.3_and_up,1
1,ibis paint x,art_and_design,4.6,224399,31000000,10000000,0,0.0,everyone,art  design,2018-07-30,5.5.4,4.1_and_up,1
